| Domain                          | IP              | Port | Response Time (ms) | Notes        |
| roboguruinfo.ruangguru.com      | 104.22.20.245   | 443  | 257.29             | may be usable.  |
| tryout.ruangguru.com            | 104.22.20.245   | 443  | 258.09             | may be usable.  |
| map.ruangguru.com               | 104.22.21.245   | 443  | 258.80             | may be usable.  |
| promo.ruangguru.com             | 172.67.22.129   | 443  | 260.44             | may be usable.  |
| utbk.ruangguru.com              | 104.22.20.245   | 443  | 263.53             | may be usable.  |
| layanan.ruangguru.com           | 104.22.20.245   | 443  | 264.08             | may be usable.  |
| kelas.ruangguru.com             | 172.67.22.129   | 443  | 264.17             | may be usable.  |
| pensi.ruangguru.com             | 172.67.22.129   | 443  | 268.54             | may be usable.  |
| diskon.ruangguru.com            | 104.22.21.245   | 443  | 270.20             | may be usable.  |
| belajar.ruangguru.com           | 104.22.20.245   | 443  | 272.89             | may be usable.  |
| orangtua.ruangguru.com          | 104.22.21.245   | 443  | 276.12             | may be usable.  |
| pensi.ruangguru.com             | 104.22.21.245   | 443  | 278.93             | may be usable.  |
| kelas.ruangguru.com             | 104.22.21.245   | 443  | 279.95             | may be usable.  |
| diskon.ruangguru.com            | 172.67.22.129   | 443  | 282.22             | may be usable.  |
| get.ruangguru.com               | 104.22.21.245   | 443  | 283.12             | may be usable.  |
| event.ruangguru.com             | 104.22.21.245   | 443  | 284.68             | may be usable.  |
| utbk.ruangguru.com              | 172.67.22.129   | 443  | 285.98             | may be usable.  |
| sekolahonline.ruangguru.com     | 104.22.20.245   | 443  | 254.35             | may be usable.  |
| sekolahonline.ruangguru.com     | 172.67.22.129   | 443  | 295.49             | may be usable.  |
| star.ruangguru.com              | 172.67.22.129   | 443  | 267.02             | may be usable.  |
| roboguruinfo.ruangguru.com      | 172.67.22.129   | 443  | 262.22             | may be usable.  |
| map.ruangguru.com               | 172.67.22.129   | 443  | 268.48             | may be usable.  |
| blog.ruangguru.com              | 172.67.22.129   | 443  | 288.03             | may be usable.  |
| roboguruinfo.ruangguru.com      | 104.22.21.245   | 443  | 290.97             | may be usable.  |
| orangtua.ruangguru.com          | 104.22.20.245   | 443  | 290.59             | may be usable.  |
| audisi.ruangguru.com            | 104.22.21.245   | 443  | 292.36             | may be usable.  |
| champion.ruangguru.com          | 104.22.20.245   | 443  | 294.46             | may be usable.  |
| promo.ruangguru.com             | 104.22.21.245   | 443  | 294.42             | may be usable.  |
| marketing.ruangguru.com         | 104.22.20.245   | 443  | 296.55             | may be usable.  |
| tps.ruangguru.com               | 104.22.21.245   | 443  | 269.48             | may be usable.  |
| tps.ruangguru.com               | 172.67.22.129   | 443  | 328.80             | may be usable.  |
| star.ruangguru.com              | 104.22.20.245   | 443  | 304.90             | may be usable.  |
| orangtua.ruangguru.com          | 172.67.22.129   | 443  | 310.78             | may be usable.  |
| mitra.ruangguru.com             | 104.22.21.245   | 443  | 312.31             | may be usable.  |
| star.ruangguru.com              | 104.22.21.245   | 443  | 313.23             | may be usable.  |
| internship.ruangguru.com        | 172.67.22.129   | 443  | 314.56             | may be usable.  |
| mitra.ruangguru.com             | 104.22.20.245   | 443  | 314.96             | may be usable.  |
| bimbel.ruangguru.com            | 104.22.21.245   | 443  | 316.42             | may be usable.  |
| cicilan.ruangguru.com           | 104.22.21.245   | 443  | 318.12             | may be usable.  |
| audisi.ruangguru.com            | 172.67.22.129   | 443  | 318.47             | may be usable.  |
| kampusmerdeka.ruangguru.com     | 104.22.21.245   | 443  | 319.24             | may be usable.  |
| leap.ruangguru.com              | 104.22.20.245   | 443  | 320.32             | may be usable.  |
